,album_name,artist_name,source_countries
209,Aja,Steely Dan,"Australia, Benelux, Canada, France, Germany, Greece, Israel, Italy, Japan, Malaysia, Mexico, New Zealand, Peru, Philippines, Rhodesia, South Africa, Spain, Turkey, UK, US"
210,Aladdin Sane,David Bowie,"Australia, Brazil, Canada, France, Germany, Greece, India, Ireland, Israel, Italy, Japan, Malaysia, Mexico, New Zealand, Portugal, South Africa, Spain, Turkey, UK, US"
211,Alaska,Between the Buried and Me,"Japan, UK, US"
212,Album of the Year,Faith No More,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, Costa Rica, Europe, France, Germany, Hungary, Indonesia, Israel, Japan, Lithuania, Malaysia, Mexico, Netherlands, Poland, Russia, Saudi Arabia, South Africa, South Korea, Thailand, Turkey, UK, US, Ukraine"
213,Album: Generic Flipper,Flipper,"UK, US"
214,Alice,Tom Waits,Canada
215,Alice in Chains,Alice in Chains,US
216,Alien,Strapping Young Lad,"Argentina, Australia, Europe, Germany, Japan, Poland, Russia, South Korea, US"
217,Alien Lanes,Guided by Voices,Germany
218,Alive or Just Breathing,Killswitch Engage,"Australia, Brazil, Canada, Europe, Germany, Indonesia, Japan, Malaysia, Poland, Thailand, US, Ukraine"
219,All Bitches Die,Lingua Ignota,US
220,All Eyez on Me,2Pac,"Australasia, Australia, Brazil, Bulgaria, Canada, Europe, Germany, India, Indonesia, Israel, Japan, Malaysia, Netherlands, Philippines, Poland, Russia, South Africa, Thailand, UK, UK, Europe, US, Ukraine"
221,All Hail West Texas,The Mountain Goats,US
222,All Hope Is Gone,Slipknot,"Argentina, Australia, Brazil, Canada, Colombia, Europe, India, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, South Korea, Thailand, UK, US, US, Canada, Ukraine"
223,All Hour Cymbals,Yeasayer,"Australia, UK, US, US, US, Canada"
224,"All Is Violent, All Is Bright",God Is an Astronaut,Ireland
225,All Killer No Filler,Sum 41,"Australasia, Brazil, Canada, Chile, Europe, Germany, Indonesia, Israel, Japan, New Zealand, Philippines, Poland, Russia, South Africa, Thailand, Turkey, UK, UK, Europe, US, Venezuela"
226,All Melody,Nils Frahm,"Europe, UK, UK, Europe"
227,All Mirrors,Angel Olsen,"North America (inc Mexico), US, US, Canada, US, Europe, US, Canada, Europe"
228,All Mod Cons,The Jam,"Canada, Germany, Ireland, Norway, Portugal, Scandinavia, UK, US"
229,All My Heroes Are Cornballs,JPEGMAFIA,US
230,All Summer Long,The Beach Boys,"Australia, Canada, Germany, Japan, New Zealand, US"
231,All That You Can't Leave Behind,U2,"Argentina, Asia, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Europe, France, Germany, Hong Kong, Hungary, India, Indonesia, Israel, Japan, Lebanon, Malaysia, Mexico, Peru, Philippines, Poland, Russia, Singapore, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Ukraine, Yugoslavia"
232,All Things Must Pass,George Harrison,"Australia, Canada, Colombia, France, Germany, Greece, Israel, Italy, Malaysia, Mexico, Netherlands, New Zealand, Peru, Portugal, Spain, UK, US"
233,All Thoughts Fly,Anna von Hausswolff,"Europe, UK, US, US, Canada, US, Europe"
234,All We Know Is Falling,Paramore,"Australia, Canada, Japan, Mexico, Philippines, US"
235,All We Love We Leave Behind,Converge,"Europe, Japan, US"
236,All of a Sudden I Miss Everyone,Explosions in the Sky,"Australia, Japan, UK, UK, Ireland, US"
237,All the Pretty Little Horses,Current 93,UK
238,All the Right Reasons,Nickelback,"Argentina, Australia, Canada, Colombia, Europe, Indonesia, Israel, Japan, Malaysia, Russia, South Africa, Taiwan, Thailand, US, Ukraine"
239,All-Amerikkkan Bada$$,Joey Bada$$,"US, US, Europe"
240,Alles ist gut,Deutsch Amerikanische Freundschaft,"Austria, Benelux, Europe, France, Germany, Greece, Italy, Netherlands, UK"
241,Alligator,The National,"Australia, Denmark, Europe, Germany, Russia, Scandinavia, Taiwan, UK, US"
242,Alopecia,WHY?,"Germany, UK, Europe, US, US"
243,Alpha Centauri,Tangerine Dream,Germany
244,Alphaville,Imperial Triumphant,"Europe, Germany, US"
245,"Alright, Still",Lily Allen,"Argentina, Australasia, Australia, Brazil, Canada, Chile, China, Europe, Indonesia, Ireland, Japan, Malaysia, Philippines, Russia, South Africa, Taiwan, Thailand, UK, US"
246,Altars of Madness,Morbid Angel,"Indonesia, UK"
247,Alternative 4,Anathema,"Bulgaria, Czech Republic, Europe, Japan, Malaysia, Poland, South Korea, US, Ukraine"
248,Alvvays,Alvvays,Canada
249,"Always Outnumbered, Never Outgunned",The Prodigy,"Argentina, Australia, Benelux, Brazil, Canada, Chile, China, Colombia, Czech Republic, Europe, France, Hungary, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, New Zealand, Philippines, Poland, Russia, Scandinavia, Singapore, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, US, US, Canada, Ukraine, United Arab Emirates"
250,Amber,Autechre,"Australia, Germany, UK, US"
251,Ambient 1: Music for Airports,Brian Eno,"Australasia, Canada, Germany, Italy, Japan, New Zealand, Scandinavia, Spain, UK, US"
252,Ambient 4: On Land,Brian Eno,"Australasia, Canada, France, Germany, Greece, Italy, Japan, Netherlands, Scandinavia, Spain, UK, US"
253,Amen,Rich Brian,US
254,AmeriKKKa's Most Wanted,Ice Cube,"Canada, Denmark, Germany, UK, UK, Europe, US"
255,America,John Fahey,US
256,American Beauty / American Psycho,Fall Out Boy,"Argentina, Australia, Brazil, Canada, China, Europe, Indonesia, Japan, Mexico, Russia, US"
257,American Boyfriend: A Suburban Love Story,Kevin Abstract,US
258,American Don,Don Caballero,"Canada, US"
259,American Dream,LCD Soundsystem,"Argentina, Brazil, Europe, Japan, Mexico, Russia, US"
260,American Football,American Football,US
261,American Gangster,Jay-Z,"Australasia, Brazil, Canada, China, Europe, Indonesia, Japan, Malaysia, Romania, Russia, US, Ukraine"
262,American Head,The Flaming Lips,"UK, UK, Europe, US"
263,American III: Solitary Man,Johnny Cash,"Argentina, Australasia, Australia, Canada, Europe, France, Japan, Netherlands, South Africa, US"
264,American IV: The Man Comes Around,Johnny Cash,"Australia, Europe, France, UK, Europe, US, US, Europe"
265,American Idiot,Green Day,"Argentina, Australia, Brazil, Canada, Chile, China, Colombia, Europe, France, Germany, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, Singapore, South Africa, Thailand, UK, US, US, Europe, Ukraine, Venezuela"
266,American Life,Madonna,"Argentina, Australia, Brazil, Bulgaria, Canada, China, Colombia, Europe, France, Germany, Greece, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, Philippines, Poland, Romania, Russia, Singapore, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, UK, US, US, Ukraine"
267,American Recordings,Johnny Cash,"Australia, Canada, Europe, Germany, Poland, US"
268,American Stars 'n Bars,Neil Young,"Australia, Brazil, Canada, France, Germany, Greece, Israel, Italy, Japan, Malaysia, Netherlands, New Zealand, Scandinavia, South Africa, Spain, Taiwan, UK, US"
269,American V: A Hundred Highways,Johnny Cash,"Australia, Brazil, Canada, China, Europe, Indonesia, Malaysia, New Zealand, South Africa, UK, Ireland, US"
270,American Water,Silver Jews,"Europe, UK, US"
271,Americana,The Offspring,"Argentina, Asia, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Czech Republic, Slovakia, Europe, France, Indonesia, Japan, Lithuania, Malaysia, Mexico, Peru, Philippines, Poland, Russia, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Ukraine"
272,Amesoeurs,Amesoeurs,"Europe, Germany, Russia, US, Canada"
273,Amnesiac,Radiohead,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Europe, France, Hungary, India, Indonesia, Lebanon, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, South Korea, Thailand, UK, US, Ukraine, Venezuela, Yugoslavia"
274,Amnesty (I),Crystal Castles,"Australia, New Zealand, Canada, Europe, Japan, Mexico, Russia, UK, US"
275,Amo,Bring Me the Horizon,"Australia, Europe, Japan, Mexico, Russia, UK, Europe, US"
276,Among My Swan,Mazzy Star,"Australia, Brazil, Canada, Europe, France, Indonesia, Japan, Malaysia, Thailand, UK, UK, Europe, US"
277,Among the Living,Anthrax,"Australia, Canada, Europe, Germany, Greece, Guatemala, Indonesia, Italy, Japan, Malaysia, Mexico, Spain, UK, US, Yugoslavia"
278,Amputechture,The Mars Volta,"Argentina, Australasia, Brazil, Canada, Europe, Indonesia, Japan, Malaysia, Mexico, Russia, US"
279,Amused to Death,Roger Waters,"Australia, Bulgaria, Canada, Chile, Europe, Indonesia, Israel, Malaysia, Mexico, Netherlands, Poland, South Africa, Spain, Taiwan, Turkey, UK, US, Venezuela"
280,An Awesome Wave,alt-J,"Asia, Australia, Canada, Europe, France, Hong Kong, Israel, Japan, Russia, UK, US, US, Europe"
281,An Empty Bliss Beyond This World,The Caretaker,"Europe, UK"
282,An End Has a Start,Editors,"Argentina, Australia, Canada, Europe, Hong Kong, Japan, Malaysia, Russia, South Korea, Thailand, UK, UK, Europe, US"
283,An Evening With Silk Sonic,Silk Sonic,"Argentina, Australia, Brazil, Mexico, US, US, Europe"
284,An Imaginary Country,Tim Hecker,US
285,Anak Ko,Jay Som,"Japan, UK, UK, US, US"
286,Anastasis,Dead Can Dance,"Asia, Australia, Europe, Japan, Mexico, Russia, UK, Europe, US, US, Canada, Ukraine"
287,And Nothing Hurt,Spiritualized,"Europe, Japan, UK, UK, Europe, US"
288,And Their Refinement of the Decline,Stars of the Lid,"Europe, US"
289,And Then Nothing Turned Itself Inside-Out,Yo La Tengo,"Australia, Brazil, Japan, UK, UK, Europe, US, US"
290,And the Glass Handed Kites,Mew,"Denmark, Europe, Indonesia, Japan, UK, Europe, UK, Ireland, US"
291,Andorra,Caribou,"Australia, Europe, Germany, Japan, US"
292,Angel Dust,Faith No More,"Australia, Brazil, Bulgaria, Canada, Chile, Colombia, Croatia, Czechoslovakia, Europe, France, Greece, Indonesia, Israel, Japan, Mexico, Peru, Philippines, Poland, South Africa, South Korea, Spain, Turkey, UK, US"
293,Angel Guts: Red Classroom,Xiu Xiu,"UK, Europe, US"
294,Angel Witch,Angel Witch,"Australia, France, Germany, Italy, Netherlands, UK"
295,Angel of Retribution,Judas Priest,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, Europe, Indonesia, Japan, Mexico, Russia, South Africa, Taiwan, Turkey, UK, US, Ukraine"
296,Angel's Egg,Gong,Europe
297,Angelic 2 the Core,Corey Feldman,US
298,Angles,The Strokes,"Argentina, Australia, Brazil, Canada, Europe, Indonesia, Japan, Mexico, Russia, South Africa, South East Asia, UK, UK, Ireland, US, US, Canada"
299,Anima latina,Lucio Battisti,"Germany, Italy, Spain"
300,Animals,Pink Floyd,"Argentina, Australia, Belgium, Brazil, Canada, Chile, Colombia, Costa Rica, Egypt, France, Germany, Greece, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Peru, Philippines, Portugal, Rhodesia, Scandinavia, Singapore, Singapore, Malaysia, South Africa, Spain, Sweden, Taiwan, Turkey, UK, US, Uruguay, Venezuela"
301,Animals,This Town Needs Guns,"UK, US, Canada"
302,Animals as Leaders,Animals as Leaders,US
303,Animated Violence Mild,Blanck Mass,"UK, US, US, Europe"
304,Anno Domini High Definition,Riverside,"Europe, Germany, Japan, Poland, Russia, US"
305,Another Eternity,Purity Ring,"Canada, Europe, Japan, UK, US"
306,Another Life,Amnesia Scanner,Germany
307,Another Music in a Different Kitchen,Buzzcocks,"Australia, France, Germany, Greece, Italy, Japan, Portugal, Sweden, UK"
308,Another Perfect Day,Motörhead,"Australia, Brazil, Canada, Colombia, Europe, Finland, France, Germany, Germany, Austria, Switzerland, Greece, Ireland, Italy, Japan, Mexico, New Zealand, Portugal, South Korea, Spain, Sweden, UK, US, Venezuela, Yugoslavia"
309,Another Side of Bob Dylan,Bob Dylan,"Canada, UK, US"
310,Another Thought,Arthur Russell,Europe
311,Anoyo,Tim Hecker,US
312,Anthem of the Peaceful Army,Greta Van Fleet,"Argentina, Australia, Brazil, Europe, Japan, Mexico, Russia, US"
313,Antichrist Superstar,Marilyn Manson,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Europe, Germany, Italy, Japan, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, South Korea, Spain, Taiwan, Turkey, UK, Europe, US"
314,Antics,Interpol,"Australia, Australia, New Zealand, Europe, France, Indonesia, Japan, Mexico, Philippines, Russia, South Africa, UK, UK, Europe, UK, Europe, US, US"
315,Antidotes,Foals,"Argentina, Australia, Brazil, Canada, France, Japan, UK, UK, Europe, US"
316,Antipop,Primus,"Australasia, Bulgaria, Canada, Europe, Japan, Poland, Russia, Turkey, US"
317,Antisocialites,Alvvays,"Australia, Canada, Europe, Japan, UK, US"
318,Ants From Up There,"Black Country, New Road","Europe, Japan, UK, UK, Europe, Worldwide"
319,Any Other City,Life Without Buildings,"Australia, UK"
320,Anything in Return,Toro y Moi,"Australia, New Zealand, Brazil, Canada, Europe, Japan, Taiwan, US"
321,Apocalypse,Bill Callahan,"Australia, US"
322,Apocalypse,Thundercat,"Europe, Japan, UK, Europe, US"
323,Apocalypse 91...The Enemy Strikes Black,Public Enemy,"Australia, Brazil, Canada, Chile, Europe, Greece, India, Indonesia, Malaysia, Poland, South Africa, Spain, Turkey, US"
324,Apologies to the Queen Mary,Wolf Parade,"Japan, Taiwan, US"
325,Apostrophe ('),Frank Zappa,"Argentina, Australia, Canada, Colombia, France, Germany, Italy, Japan, Netherlands, New Zealand, Spain, Sweden, Turkey, UK, US, Uruguay, Yugoslavia"
326,Appetite for Destruction,Guns n' Roses,"Australia, Brazil, Canada, Chile, Europe, France, Germany, Greece, Guatemala, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Panama, Saudi Arabia, Singapore, South Africa, South Korea, Taiwan, UK, Europe, US, US, Canada, US, Canada, UK, Uruguay, Zimbabwe"
327,Apple O',Deerhoof,"Japan, US"
328,Apple Venus Volume 1,XTC,"Australia, Australia, New Zealand, Canada, France, Italy, Japan, UK, US"
329,Apricot Princess,Rex Orange County,"Japan, UK, Europe, US, US"
330,April,Sun Kil Moon,"Australia, Japan, US"
331,Aqualung,Jethro Tull,"Angola, Argentina, Australia, Brazil, Canada, Colombia, France, Germany, Greece, Israel, Italy, Japan, Lebanon, Mexico, Netherlands, New Zealand, Norway, Scandinavia, South Africa, South Korea, Taiwan, Turkey, UK, US, Venezuela"
332,Aquemini,OutKast,"Canada, Europe, Russia, US"
333,Architecture & Morality,Orchestral Manœuvres in the Dark,"Australia, Canada, Finland, France, Germany, Greece, Iceland, Israel, Italy, Netherlands, New Zealand, Portugal, Scandinavia, South Africa, Spain, Sweden, UK, US"
334,Are We There,Sharon Van Etten,"Japan, UK, US"
335,Are You Dead Yet?,Children of Bodom,"Brazil, Canada, Europe, Finland, France, Germany, Indonesia, Japan, Malaysia, Russia, Taiwan, Thailand, UK, US, Ukraine"
336,Are You Experienced,The Jimi Hendrix Experience,"Australia, Canada, France, Germany, Israel, Italy, New Zealand, Scandinavia, South Africa, South Korea, UK, US"
337,Argus,Wishbone Ash,"Australia, Brazil, Canada, France, Germany, Greece, Italy, Japan, South Africa, UK, US, Venezuela"
338,Arise,Sepultura,"Argentina, Australia, Brazil, Bulgaria, Canada, Europe, Germany, Indonesia, Japan, Poland, Romania, South Korea, Turkey, UK, US, US, Canada"
339,Arizona Baby,Kevin Abstract,US
340,Armchair Apocrypha,Andrew Bird,"Australia, France, Japan, Russia, UK, Europe, Japan, US"
341,Armed Forces,Elvis Costello & The Attractions,"Argentina, Australia, Austria, Belgium, Brazil, Canada, Colombia, Europe, Finland, France, Germany, Greece, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Portugal, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, Spain, Sweden, UK, US"
342,Arntor,Windir,Norway
343,Aromanticism,Moses Sumney,"Europe, Japan, UK, Europe, US, US"
344,Around the Fur,Deftones,"Australia, Brazil, Canada, Europe, Japan, Malaysia, Poland, Russia, South Korea, Thailand, US"
345,Around the Sun,R.E.M.,"Argentina, Australia, Brazil, Canada, Chile, China, Europe, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, Romania, Russia, Singapore, South Africa, Thailand, Turkey, US, Venezuela"
346,Around the World in a Day,Prince and The Revolution,"Argentina, Australia, Brazil, Canada, Colombia, Ecuador, Europe, Germany, Greece, Guatemala, Indonesia, Ireland, Israel, Italy, Jamaica, Japan, Mexico, New Zealand, Peru, Philippines, Singapore, South Africa, South Korea, Spain, Taiwan, Thailand, UK, Europe, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
347,Arrival,ABBA,"Argentina, Australia, Australia, New Zealand, Austria, Canada, Colombia, Denmark, El Salvador, France, Germany, Greece, Hong Kong, India, Ireland, Israel, Italy, Jamaica, Malaysia, Netherlands, New Zealand, Norway, Philippines, Portugal, Rhodesia, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, Spain, Sweden, Switzerland, Taiwan, Turkey, UK, US, Uruguay, Yugoslavia"
348,Artaud,Pescado Rabioso,Argentina
349,Arthur Verocai,Arthur Verocai,Brazil
350,Arthur or the Decline and Fall of the British Empire,The Kinks,"Australia, Canada, France, Germany, India, Netherlands, New Zealand, South Africa, UK, US"
351,As the Roots Undo,Circle Takes the Square,US
352,Ascendancy,Trivium,"Australia, Brazil, Canada, Europe, Indonesia, Japan, Netherlands, US"
353,Ascenseur pour l'échafaud,Miles Davis,"France, Germany"
354,Ascension [Edition I],John Coltrane,"Canada, UK, US"
355,Ash Ra Tempel,Ash Ra Tempel,Germany
356,Ashes Against the Grain,Agalloch,"Germany, US"
357,Ashes of the Wake,Lamb of God,"Australasia, Austria, Canada, Europe, Japan, US"
358,Ask Me Tomorrow,Mojave 3,"Belgium, Canada, Europe, Germany, UK, US"
359,Ask the Ages,Sonny Sharrock,"Canada, US"
360,Assume Form,James Blake,"Australasia, Europe, Japan, Russia, UK, Europe, US, US, Canada"
361,Astigmatic,Komeda Quintet,Poland
362,Astral Weeks,Van Morrison,"Canada, Germany, New Zealand, US"
363,"Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head",White Zombie,Germany
364,Async,Ryuichi Sakamoto,"France, Japan, South Korea, US"
365,At Action Park,Shellac,"UK, UK, US, UK, Europe, US, US"
366,At Last!,Etta James,US
367,At War With the Mystics,The Flaming Lips,"Argentina, Australia, Brazil, Canada, Europe, Hong Kong, India, Japan, Mexico, Russia, US"
368,At the Heart of Winter,Immortal,"Bulgaria, Europe, France, Poland, Turkey, US, Ukraine"
369,Atom Heart Mother,Pink Floyd,"Argentina, Australia, Canada, Denmark, Europe, France, Germany, Greece, Hong Kong, India, Israel, Italy, Netherlands, New Zealand, Peru, Singapore, Malaysia, Hong Kong, South Africa, Spain, Switzerland, UK, US"
370,Atomizer,Big Black,"UK, US"
371,Attack & Release,The Black Keys,"Australia, New Zealand, Canada, Europe, Japan, Netherlands, UK, US"
372,Attack on Memory,Cloud Nothings,Australia
373,Audioslave,Audioslave,"Argentina, Asia, Australia, Brazil, Canada, Chile, Colombia, Europe, Indonesia, Japan, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, UK, Europe, US, Ukraine"
